,total volume,irrigation outflow,water_overflow,inflow2A,pump_runtime
2016-01-01 00:00:00,20055.138343462524,0.0,0.0,0.0,0.0
2016-01-01 01:00:00,19774.215158962525,280.92318450000005,0.0,0.0,0.09180496225490198
2016-01-01 02:00:00,19493.291974462525,280.92318450000005,0.0,0.0,0.18360992450980396
2016-01-01 03:00:00,19212.368789962526,280.92318450000005,0.0,0.0,0.27541488676470594
2016-01-01 04:00:00,18931.445605462526,280.92318450000005,0.0,0.0,0.3672198490196079
2016-01-01 05:00:00,18650.522420962527,280.92318450000005,0.0,0.0,0.4590248112745099
2016-01-01 06:00:00,18369.599236462527,280.92318450000005,0.0,0.0,0.5508297735294119
2016-01-01 07:00:00,18088.676051962528,280.92318450000005,0.0,0.0,0.6426347357843138
2016-01-01 08:00:00,17807.75286746253,280.92318450000005,0.0,0.0,0.7344396980392158
2016-01-01 09:00:00,17526.82968296253,280.92318450000005,0.0,0.0,0.8262446602941178
2016-01-01 10:00:00,17245.90649846253,280.92318450000005,0.0,0.0,0.9180496225490198
2016-01-01 11:00:00,16964.98331396253,280.92318450000005,0.0,0.0,1.0098545848039218
2016-01-01 12:00:00,22207.62932446253,280.92318450000005,0.0,3678.6130789999997,1.1016595470588237
2016-01-01 13:00:00,29567.119044962532,280.92318450000005,0.0,4724.2818990000005,1.1934645093137257
2016-01-01 14:00:00,34709.784584462526,280.92318450000005,0.0,2923.060415,1.2852694715686277
2016-01-01 15:00:00,39090.25622996252,280.92318450000005,0.0,2555.522692,1.3770744338235297
2016-01-01 16:00:00,38809.33304546252,280.92318450000005,0.0,0.0,1.4688793960784317
2016-01-01 17:00:00,38528.409860962514,280.92318450000005,0.0,0.0,1.5606843583333336
2016-01-01 18:00:00,44110.19426446251,280.92318450000005,0.0,3711.3870369999995,1.6524893205882356
2016-01-01 19:00:00,52899.46045596251,280.92318450000005,0.0,5461.052374,1.7442942828431376
2016-01-01 20:00:00,63659.91636446251,280.92318450000005,0.0,6664.179574,1.8360992450980396
2016-01-01 21:00:00,79516.88510196251,280.92318450000005,0.0,9525.6352,1.9279042073529415
2016-01-01 22:00:00,88817.7723714625,280.92318450000005,0.0,4808.734808,2.0197091696078435
2016-01-01 23:00:00,99979.0188189625,280.92318450000005,0.0,6443.010292,2.1115141318627453
2016-01-02 00:00:00,131631.1919884406,280.92318450000005,0.0,3585.605311,0.0
2016-01-02 01:00:00,139465.0587874406,0.0,0.0,4298.809877000001,0.0
2016-01-02 02:00:00,145225.3894524406,0.0,0.0,2872.976598,0.0
2016-01-02 03:00:00,147485.5889724406,0.0,0.0,0.0,0.0
2016-01-02 04:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 05:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 06:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 07:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 08:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 09:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 10:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 11:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 12:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 13:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 14:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 15:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 16:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 17:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 18:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 19:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 20:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 21:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 22:00:00,149314.7529014406,0.0,0.0,0.0,0.0
2016-01-02 23:00:00,159046.9354164406,0.0,0.0,6224.279671,0.0
2016-01-03 00:00:00,184891.03389593828,0.0,0.0,3492.991983,0.0
2016-01-03 01:00:00,189754.4082369383,0.0,0.0,2496.570611,0.0
2016-01-03 02:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 03:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 04:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 05:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 06:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 07:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 08:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 09:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 10:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 11:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 12:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 13:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 14:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 15:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 16:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 17:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 18:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 19:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 20:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 21:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 22:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-03 23:00:00,191643.2485249383,0.0,0.0,0.0,0.0
2016-01-04 00:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 01:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 02:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 03:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 04:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 05:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 06:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 07:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 08:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 09:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 10:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 11:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 12:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 13:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 14:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 15:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 16:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 17:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 18:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 19:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 20:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 21:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 22:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-04 23:00:00,211712.9302129974,0.0,0.0,0.0,0.0
2016-01-05 00:00:00,237824.11088988563,0.0,0.0,0.0,0.0
2016-01-05 01:00:00,237537.23572038562,286.87516949999997,0.0,0.0,0.09375005539215686
2016-01-05 02:00:00,237250.3605508856,286.87516949999997,0.0,0.0,0.18750011078431372
2016-01-05 03:00:00,236963.4853813856,286.87516949999997,0.0,0.0,0.2812501661764706
2016-01-05 04:00:00,236676.6102118856,286.87516949999997,0.0,0.0,0.37500022156862745
2016-01-05 05:00:00,236389.73504238558,286.87516949999997,0.0,0.0,0.4687502769607843
2016-01-05 06:00:00,236102.85987288557,286.87516949999997,0.0,0.0,0.5625003323529412
2016-01-05 07:00:00,235815.98470338556,286.87516949999997,0.0,0.0,0.656250387745098
2016-01-05 08:00:00,235529.10953388555,286.87516949999997,0.0,0.0,0.7500004431372549
2016-01-05 09:00:00,235242.23436438554,286.87516949999997,0.0,0.0,0.8437504985294118
2016-01-05 10:00:00,234955.35919488553,286.87516949999997,0.0,0.0,0.9375005539215686
2016-01-05 11:00:00,234668.48402538552,286.87516949999997,0.0,0.0,1.0312506093137255
2016-01-05 12:00:00,234381.6088558855,286.87516949999997,0.0,0.0,1.1250006647058823
2016-01-05 13:00:00,234094.7336863855,286.87516949999997,0.0,0.0,1.2187507200980392
2016-01-05 14:00:00,233807.8585168855,286.87516949999997,0.0,0.0,1.312500775490196
2016-01-05 15:00:00,233520.98334738548,286.87516949999997,0.0,0.0,1.406250830882353
2016-01-05 16:00:00,233234.10817788547,286.87516949999997,0.0,0.0,1.5000008862745098
2016-01-05 17:00:00,232947.23300838546,286.87516949999997,0.0,0.0,1.5937509416666666
2016-01-05 18:00:00,232660.35783888545,286.87516949999997,0.0,0.0,1.6875009970588235
2016-01-05 19:00:00,232373.48266938544,286.87516949999997,0.0,0.0,1.7812510524509804
2016-01-05 20:00:00,232086.60749988543,286.87516949999997,0.0,0.0,1.8750011078431372
2016-01-05 21:00:00,231799.73233038542,286.87516949999997,0.0,0.0,1.968751163235294
2016-01-05 22:00:00,231512.8571608854,286.87516949999997,0.0,0.0,2.062501218627451
2016-01-05 23:00:00,231225.9819913854,286.87516949999997,0.0,0.0,2.156251274019608
2016-01-06 00:00:00,251154.27957478818,286.87516949999997,0.0,0.0,0.0
2016-01-06 01:00:00,250855.5031195882,298.7764552,0.0,0.0,0.09763936444444445
2016-01-06 02:00:00,250556.7266643882,298.7764552,0.0,0.0,0.1952787288888889
2016-01-06 03:00:00,250257.95020918822,298.7764552,0.0,0.0,0.29291809333333335
2016-01-06 04:00:00,249959.17375398823,298.7764552,0.0,0.0,0.3905574577777778
2016-01-06 05:00:00,249660.39729878824,298.7764552,0.0,0.0,0.4881968222222222
2016-01-06 06:00:00,249361.62084358826,298.7764552,0.0,0.0,0.5858361866666667
