,total volume,irrigation outflow,water_overflow,inflow2B,pump_runtime
2016-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0
2016-01-01 12:00:00,1844.956116,0.0,0.0,1844.956116,0.0
2016-01-01 13:00:00,4761.087122,0.0,0.0,2916.131006,0.0
2016-01-01 14:00:00,7261.615431,0.0,0.0,2500.528309,0.0
2016-01-01 15:00:00,9367.487569,0.0,0.0,2105.8721379999997,0.0
2016-01-01 16:00:00,9367.487569,0.0,0.0,0.0,0.0
2016-01-01 17:00:00,9367.487569,0.0,0.0,0.0,0.0
2016-01-01 18:00:00,11518.808120000002,0.0,0.0,2151.3205510000003,0.0
2016-01-01 19:00:00,15127.945122000001,0.0,0.0,3609.1370020000004,0.0
2016-01-01 20:00:00,19505.144641,0.0,0.0,4377.199519,0.0
2016-01-01 21:00:00,26117.401362999997,0.0,0.0,6612.256722,0.0
2016-01-01 22:00:00,30890.477009,0.0,0.0,4773.075646,0.0
2016-01-01 23:00:00,35889.636349,0.0,0.0,4999.15934,0.0
2016-01-02 00:00:00,39621.547106,0.0,0.0,3731.910757,0.0
2016-01-02 01:00:00,43156.604028,0.0,0.0,3535.0569219999998,0.0
2016-01-02 02:00:00,46043.958095,0.0,0.0,2887.354067,0.0
2016-01-02 03:00:00,48304.157615000004,0.0,0.0,2260.19952,0.0
2016-01-02 04:00:00,50133.321544000006,0.0,0.0,1829.1639289999998,0.0
2016-01-02 05:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 06:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 07:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 08:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 09:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 10:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 11:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 12:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 13:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 14:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 15:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 16:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 17:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 18:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 19:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 20:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 21:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 22:00:00,50133.321544000006,0.0,0.0,0.0,0.0
2016-01-02 23:00:00,53641.224388,0.0,0.0,3507.9028439999997,0.0
2016-01-03 00:00:00,56620.988182,0.0,0.0,2979.763794,0.0
2016-01-03 01:00:00,58987.791912,0.0,0.0,2366.80373,0.0
2016-01-03 02:00:00,60876.6322,0.0,0.0,1888.8402879999999,0.0
2016-01-03 03:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 04:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 05:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 06:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 07:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 08:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 09:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 10:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 11:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 12:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 13:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 14:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 15:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 16:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 17:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 18:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 19:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 20:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 21:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 22:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-03 23:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-04 00:00:00,60876.6322,0.0,0.0,0.0,0.0
2016-01-04 01:00:00,60876.6322,0.0,0.0,0.0,0.0
